

*******************************************************************************
Ephemeris / WWW_USER Tue Apr 14 10:13:30 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Artemis II (spacecraft) (-1024) {source: Artemis_II_merged}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2026-Apr-02 01:58:33.0000 TDB
Stop  time      : A.D. 2026-Apr-10 23:54:22.0000 TDB
Step-size       : 15 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.260413.p260710
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-APR-13. PREDICTS-> 2026-JUL-09
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2461133.426076389, A.D. 2026-Apr-02 22:13:33.0000,  1.584162869284827E+04, -2.519155154260748E+04, -2.059000456196500E+03,  1.548528954297820E-01,  4.121101939556943E+00,  3.521826227481082E-01,
2461133.436493055, A.D. 2026-Apr-02 22:28:33.0000,  1.587306354244438E+04, -2.132040464646311E+04, -1.728821980187448E+03, -9.940339383032692E-02,  4.492142376291028E+00,  3.823991248729901E-01,
2461133.446909722, A.D. 2026-Apr-02 22:43:33.0000,  1.562888529928833E+04, -1.708332468057416E+04, -1.368959802426276E+03, -4.677126846226957E-01,  4.937983886664349E+00,  4.183876749692574E-01,
2461133.457326389, A.D. 2026-Apr-02 22:58:33.0000,  1.497086865479168E+04, -1.240215239925173E+04, -9.735065356440327E+02, -1.040562797721657E+00,  5.483371995698932E+00,  4.617441833572042E-01,
2461133.467743055, A.D. 2026-Apr-02 23:13:33.0000,  1.363417128221314E+04, -7.178081376138872E+03, -5.354885487267825E+02, -2.029477510742626E+00,  6.142962971110213E+00,  5.125555438302869E-01,
2461133.478159722, A.D. 2026-Apr-02 23:28:33.0000,  1.102897497556806E+04, -1.347100415021010E+03, -5.270511598441931E+01, -4.014247036999886E+00,  6.763556441689380E+00,  5.544930650890860E-01,
2461133.488576389, A.D. 2026-Apr-02 23:43:33.0000,  5.694103478128240E+03,  4.526130762913066E+03,  4.179176523386268E+02, -8.295012056177010E+00,  5.557470165192785E+00,  4.258931836553952E-01,
2461133.498993055, A.D. 2026-Apr-02 23:58:33.0000, -3.290484309669008E+03,  6.567795521296486E+03,  5.048882370626370E+02, -1.023152455680406E+01, -1.336974860772672E+00, -2.950349293426971E-01,
2461133.509409722, A.D. 2026-Apr-03 00:13:33.0000, -1.100732633991387E+04,  3.743084623177162E+03,  1.262358892110863E+02, -7.053435029996252E+00, -4.106075458047263E+00, -4.777109271570679E-01,
2461133.519826389, A.D. 2026-Apr-03 00:28:33.0000, -1.643789338472494E+04, -1.472097516006847E+02, -3.042179007992403E+02, -5.210853956123593E+00, -4.402394436467691E+00, -4.705544084961373E-01,
